[18:42:19.227] Normal: Scanner On.
[18:42:19.454] Normal: Device Scanned.
[18:42:19.454] Debug: [Callback] centralManager(central, didDiscover: peripheral, advertisementData: ["kCBAdvDataRxSecondaryPHY": 0, "kCBAdvDataIsConnectable": 1, "kCBAdvDataManufacturerData": <4388ec00 01010100>, "kCBAdvDataRxPrimaryPHY": 129, "kCBAdvDataTimestamp": 796603339.4533401, "kCBAdvDataLocalName": GVH600887FB], rssi: -71)
[18:42:19.454] Normal: -71 dBm
[18:42:19.454] Normal: 227.40 ms
[18:42:19.655] Normal: -66 dBm
[18:42:19.655] Normal: 200.92 ms
[18:42:20.257] Normal: -58 dBm
[18:42:20.257] Normal: 601.83 ms
[18:42:20.454] Normal: -72 dBm
[18:42:20.454] Normal: 196.58 ms
[18:42:20.859] Normal: -59 dBm
[18:42:20.859] Normal: 404.89 ms
[18:42:21.059] Normal: -58 dBm
[18:42:21.059] Normal: 199.31 ms
[18:42:21.060] Normal: -59 dBm
[18:42:21.060] Normal: 199.72 ms
[18:42:21.454] Normal: -71 dBm
[18:42:21.454] Normal: 395.53 ms
[18:42:22.058] Normal: -59 dBm
[18:42:22.058] Normal: 603.88 ms
[18:42:22.254] Normal: -68 dBm
[18:42:22.254] Normal: 195.16 ms
[18:42:22.456] Normal: -67 dBm
[18:42:22.456] Normal: 202.21 ms
[18:42:22.659] Normal: -61 dBm
[18:42:22.659] Normal: 203.93 ms
[18:42:22.855] Normal: -66 dBm
[18:42:22.855] Normal: 195.52 ms
[18:42:23.260] Normal: -61 dBm
[18:42:23.260] Normal: 404.96 ms
[18:42:23.457] Normal: -61 dBm
[18:42:23.457] Normal: 196.78 ms
[18:42:24.060] Normal: -60 dBm
[18:42:24.060] Normal: 602.99 ms
[18:42:24.460] Normal: -61 dBm
[18:42:24.460] Normal: 400.66 ms
[18:42:24.657] Normal: -58 dBm
[18:42:24.657] Normal: 197.14 ms
[18:42:24.859] Normal: -57 dBm
[18:42:24.859] Normal: 201.49 ms
[18:42:25.056] Normal: -68 dBm
[18:42:25.056] Normal: 196.69 ms
[18:42:25.259] Normal: -57 dBm
[18:42:25.259] Normal: 203.32 ms
[18:42:25.659] Normal: -59 dBm
[18:42:25.659] Normal: 399.76 ms
[18:42:25.854] Normal: -70 dBm
[18:42:25.854] Normal: 195.07 ms
[18:42:26.060] Normal: -57 dBm
[18:42:26.060] Normal: 205.75 ms
[18:42:26.260] Normal: -59 dBm
[18:42:26.260] Normal: 200.43 ms
[18:42:26.860] Normal: -59 dBm
[18:42:26.860] Normal: 599.55 ms
[18:42:27.057] Normal: -56 dBm
[18:42:27.057] Normal: 197.66 ms
[18:42:27.259] Normal: -56 dBm
[18:42:27.259] Normal: 201.93 ms
[18:42:27.458] Normal: -58 dBm
[18:42:27.458] Normal: 198.86 ms
[18:42:27.658] Normal: -57 dBm
[18:42:27.658] Normal: 199.80 ms
[18:42:27.854] Normal: -66 dBm
[18:42:27.854] Normal: 196.44 ms
[18:42:28.059] Normal: -59 dBm
[18:42:28.059] Normal: 204.25 ms
[18:42:28.456] Normal: -66 dBm
[18:42:28.457] Normal: 398.02 ms
[18:42:28.658] Normal: -59 dBm
[18:42:28.658] Normal: 201.03 ms
[18:42:28.857] Normal: -61 dBm
[18:42:28.857] Normal: 199.73 ms
[18:42:29.058] Normal: -66 dBm
[18:42:29.058] Normal: 198.64 ms
[18:42:29.058] Normal: -66 dBm
[18:42:29.058] Normal: 198.84 ms
[18:42:29.257] Normal: -59 dBm
[18:42:29.257] Normal: 201.10 ms
[18:42:29.857] Normal: -60 dBm
[18:42:29.857] Normal: 600.42 ms
[18:42:30.056] Normal: -64 dBm
[18:42:30.056] Normal: 198.50 ms
[18:42:30.460] Normal: -60 dBm
[18:42:30.460] Normal: 403.59 ms
[18:42:30.657] Normal: -61 dBm
[18:42:30.657] Normal: 195.52 ms
[18:42:31.056] Normal: -61 dBm
[18:42:31.056] Normal: 401.18 ms
[18:42:31.255] Normal: -61 dBm
[18:42:31.255] Normal: 198.86 ms
[18:42:31.659] Normal: -60 dBm
[18:42:31.659] Normal: 403.76 ms
[18:42:31.856] Normal: -61 dBm
[18:42:31.856] Normal: 197.23 ms
[18:42:32.058] Normal: -59 dBm
[18:42:32.058] Normal: 201.50 ms
[18:42:32.254] Normal: -64 dBm
[18:42:32.254] Normal: 196.54 ms
[18:42:33.056] Normal: -64 dBm
[18:42:33.056] Normal: 801.95 ms
[18:42:33.260] Normal: -59 dBm
[18:42:33.260] Normal: 202.82 ms
[18:42:33.260] Normal: -59 dBm
[18:42:33.260] Normal: 202.93 ms
[18:42:33.657] Normal: -59 dBm
[18:42:33.658] Normal: 398.54 ms
